index,Fe_N_C1_C2,Fe_N_C1_C3,C2_C1_C3_C3,C2_C1_N_Fe,C2_C1_N_C1,C1_C2_C1_N,C1_C2_C1_C3,C1_N_Fe_N,C1_N_C1_C2,C3_C1_C2_C1,C3_C1_N_Fe,C3_C3_C1_C2,N_Fe_N_C1,N_C1_C2_C1
1hrc,4.8611768191612335,-178.25523673880693,177.8339065516243,0.051866261744165545,-176.86477144067638,-8.626070840583047,176.6773934614513,-13.554810078281234,-176.86477144067638,-166.52511143134868,-178.25523673880693,177.8339065516243,-176.19404749639722,9.859376013970383
2ce0,9.53743868722844,-172.1589918173455,-179.80530341637498,-7.536662323570481,179.3466773590659,-8.595572047149513,171.6857698121644,-9.424747339808023,179.3466773590659,-177.46549552602374,-172.1589918173455,-179.80530341637498,-172.37142158903882,0.5766263320897089
1f1f,9.842502754265565,-173.06503091156029,177.55559467000242,-2.7279627259111834,-178.2012329383208,-6.815172497380817,179.69848467823192,-11.433870628921357,-178.2012329383208,-175.52780522340677,-173.06503091156029,177.55559467000242,179.82288138118145,1.2004254765736546
1es1,4.783438753863505,-173.61636948014637,-176.89250392391983,-6.305676944884343,176.2721923875306,-5.245323974629951,178.8845235631493,-1.5312289608224496,176.2721923875306,176.50974484795563,-173.61636948014637,-176.89250392391983,177.63189041653033,-1.7319656502823708
1ccc,-16.349473045736257,162.78503129390748,-177.91719842773148,14.696412811464851,178.57519854264973,6.457981215678358,-171.35256771703578,13.79543984179482,178.57519854264973,-173.63413717629112,162.78503129390748,-177.91719842773148,168.38028966364453,5.369240108354695
1cyi,19.82659164107637,-168.99869423094788,173.70623181212736,-1.6170852419241624,-176.12181496821722,-6.222760206988736,-177.5203849152798,-14.94589854794025,-176.12181496821722,-177.4782310419469,-168.99869423094788,173.70623181212736,179.03871898049812,-7.601066167101438
2ycc,12.648383595308069,-176.35490339225768,-178.1151137286214,-6.19050828620694,-179.89928477106403,-5.392045460851928,175.38862571597804,-17.41504015532425,-179.89928477106403,-167.1112890291056,-176.35490339225768,-178.1151137286214,-173.45756104092405,2.113146068140047
1ycc,13.016588420670116,179.37628263341588,177.92943117092594,-0.06835361990004005,-174.57205621817235,-7.204977866922849,-171.8727680172484,-13.837920217193995,-174.57205621817235,-164.1767033257321,179.37628263341588,177.92943117092594,-178.19483980516307,-0.09502109064093411
1cry,10.460694719723541,-170.05263124529526,179.96650798588712,-9.994460527593764,-179.7052065175858,-0.8044647274486167,-179.95362263444304,-11.474212090472193,-179.7052065175858,178.21544024082868,-170.05263124529526,179.96650798588712,-177.07267879281576,-2.378640591109317
1co6,6.962843554488793,-173.5946796259575,-179.31207190842812,-7.413999470196612,-179.52656664176845,6.934026164667633,-177.3233141204537,-10.876646163040704,-179.52656664176845,178.04234781145522,-173.5946796259575,-179.31207190842812,178.38122932095845,-2.6175689502995927
2v07,10.522016424061981,-171.4078654997027,179.97248285022224,-7.9511434142760065,179.40593130670842,-6.0484941758006086,173.84260767699325,-8.264893086826046,179.40593130670842,179.72742064849274,-171.4078654997027,179.9724828502222,-173.68667633015954,-2.4866670611778647
