,homo_1_nbo,lumo_1_nbo,homo_2_nbo,lumo_2_nbo,homo_5_nbo,lumo_5_nbo,homo_6_nbo,lumo_6_nbo,Em_lit
0,-0.1609,-0.09964,-0.26514,-0.20617,-0.17172,-0.07166,-0.27867,-0.18374,-443.0
1,-0.1237,-0.09996,-0.27174,-0.18048,-0.14959,-0.05855,-0.27333,-0.16859000000000002,-60.0
2,-0.18567,-0.11356,-0.30302,-0.21753000000000006,-0.16582,-0.10329,-0.27761,-0.22794,-127.0
3,-0.17357,-0.06967000000000001,-0.29308,-0.1792,-0.17755,-0.07264,-0.29336,-0.17995,-102.0
4,-0.19009,-0.10056,-0.30453,-0.20272,-0.18889,-0.09713,-0.27712,-0.22279,-164.5
5,-0.18785,-0.07388,-0.30461,-0.25299,-0.1707,-0.07678,-0.30176,-0.19194,-347.0
6,-0.18528,-0.07188,-0.30256,-0.18743,-0.17188,-0.07472000000000001,-0.29902,-0.18838,103.0
7,-0.18688,-0.07927999999999999,-0.29337,-0.18765,-0.12159,-0.08404,-0.29537,-0.18975,293.0
8,-0.1265,-0.10105,-0.26849,-0.2305,-0.16744,-0.0679,-0.27381,-0.17675,-260.0
9,-0.18828,-0.08217,-0.30197,-0.24322,-0.17727,-0.08164,-0.25487,-0.22443,-181.1
10,-0.1758,-0.07297000000000001,-0.29645,-0.1828,-0.11729,-0.0716,-0.29803,-0.18533,270.0
11,-0.17620999999999998,-0.08507999999999999,-0.29102,-0.17769,-0.11346,-0.07983,-0.2707,-0.17726,-63.0
12,-0.18724,-0.08731,-0.30209,-0.19694,-0.12826,-0.10767,-0.29603,-0.19456,-127.0
13,-0.15478,-0.09966,-0.29914,-0.2363,-0.1715,-0.07304,-0.27873000000000003,-0.21479,50.0
14,-0.17277,-0.06486,-0.28398,-0.1747,-0.10897,-0.06382,-0.28521,-0.17705,-10.0
15,-0.18015,-0.08556,-0.30132,-0.20075,-0.13292,-0.07195,-0.29337,-0.20462,68.0
16,-0.17982,-0.08522,-0.27898,-0.18826,-0.16559,-0.0807,-0.23306,-0.18387,63.9
17,-0.15456,-0.09723,-0.29917,-0.23792,-0.17029,-0.07184,-0.27729000000000004,-0.21141,50.0
18,-0.13304000000000002,-0.10781,-0.28263,-0.23579,-0.15099,-0.06817000000000001,-0.27754,-0.19258,355.0
19,-0.16555999999999998,-0.06365,-0.28975,-0.17462,-0.17575,-0.06796,-0.29055,-0.17638,-102.0
20,-0.12877,-0.10449,-0.27391,-0.17866,-0.14331,-0.06646,-0.27508,-0.17638,-240.0
21,-0.13454000000000002,-0.11088,-0.28847,-0.18075,-0.14182,-0.0728,-0.28312,-0.19998,290.0
22,-0.1274,-0.11027,-0.28767,-0.17764000000000002,-0.13296,-0.06586,-0.28708,-0.18459,296.0
23,-0.18473,-0.0876,-0.28392,-0.19914,-0.16813,-0.08506,-0.28637,-0.18113,65.5
24,-0.13573,-0.11011,-0.27284,-0.23262,-0.15655,-0.08029,-0.27869,-0.22142,269.0
25,-0.1684,-0.06298,-0.27385,-0.17484,-0.10887,-0.06348,-0.24976,-0.17955,103.0
26,-0.12972999999999998,-0.10631,-0.27567,-0.18367,-0.14335,-0.07139,-0.27592,-0.1834,83.0
27,-0.13360999999999998,-0.11058,-0.2802,-0.24462,-0.14461,-0.07696,-0.28078000000000003,-0.18719,86.0
