,C1_SW_N_S_N_N_C1_NW,C1_SO_N_S_N_N_C1_NO,C1_WS_NW_NO_C1_OS,C1_WN_NW_NO_C1_ON
3CCX,-8.322564182930947,-0.8854680835763632,12.131491602592705,-5.025763213104146
1EWH,17.02375076571261,5.533247423864765,-11.98986469026277,-15.878837671849167
1YCC,17.344883736802,8.540752776024206,-30.63635101978751,-9.250361449654608
6U97,4.624457775898294,6.3835006999487,-8.550657646173757,-7.742671708162551
1CCE,-8.632571716930823,-4.517577210049342,24.60657842715246,-9.45781758691117
2CE0,10.064359102534835,13.07994424431364,-16.013085717118454,-7.105296925166524
1DRM,-4.130715610454389,-8.466717650236381,4.656706062545163,5.573944385401494
1F1F,20.408575785908774,8.121718467080168,-15.789943575724855,-13.74092105109249
4K8F,7.751603592531328,-21.466242155217355,-3.0621435184835155,16.876339412843322
1VB6_HISMET,0.11242173654215468,0.678528331476021,-0.5645664530473332,0.05378697276310164
1H9X,9.517614539246125,6.864060838187159,-7.1564595171950485,-9.349943885330282
2OYY,12.51776014943464,0.3499137368322311,-6.886649024531355,-5.161864957544568
451C,10.792403896589827,9.80948996883057,-8.170119470334638,-11.877395976641662
1BE3_HISMET,31.8994062537915,-6.840142445273898,-5.497021324155104,-18.704976269910233
1MZ4,7.230042716117951,2.144944499048955,-9.281813949817838,-4.316954486192462
1CO6,16.296827757866133,0.558950190220866,-15.888233145191597,-2.888779736902461
1A6K,15.892665266315577,-11.890913012802047,4.432707138997684,-4.705287982551536
1CYO,-7.169868568184015,-9.26427253733903,2.0763677286225195,10.13806176032049
1AW3,-7.327910821429367,-2.1609161425101404,3.6002270111600376,3.558214415745536
2C1D_MET,8.328910818585326,7.218453268340865,-6.209411019307984,-13.131322008368103
1NSI,14.920023290330175,18.04401552216352,-18.313473976796466,-15.821648150956737
1LS9,10.174707738584582,4.550161408504387,-15.938172799625859,-8.593807989995712
2V08,13.234851703121345,10.525703414355448,-19.567060612177006,-6.650035193894005
1EHB,-7.226625120080963,-6.69025726080022,1.6223364113896577,5.401331620064122
351C,9.495485124481386,9.63624779263733,-7.021568115515338,-12.931785894537791
1JP9,0.5939719767425455,-0.17296242311559168,-0.18288444638022106,0.004080325156783436
1B5A,-2.1709935901214785,2.0745075554683683,0.2909513704477598,-1.5823035148462485
5MCS,8.198355545167972,2.334291787810911,-13.535186693676954,4.481926671028899
1CCC,-6.27129104206143,-11.153491681240359,21.741686303691733,-4.673525927990081
1C2R,0.3572036464411399,0.8854636780301014,0.2351936214027064,-1.5511315994879722
1A6M,9.467277425668156,-5.572673790972625,4.873537320307356,-3.334932261271182
1CXC,8.729117820160633,5.215860926448481,-14.378666139137392,-5.639664341854431
1CPO,-6.046368208708626,-4.32841534304383,1.118633136016617,6.504112440172873
1CCK,-1.7097737955478463,-5.009966609944021,18.09976969549161,-10.233289417815701
2PCB,16.513833755232834,9.148082482060522,-19.43209522534908,-8.959467305958723
1CTJ,15.501774135812873,5.853904760286455,-13.317351394497635,-12.003712417652284
1JBQ,1.4720389941823608,1.8010304144361793,-1.3121439877421683,-1.7216892074035
1HRC,27.562969774229934,11.47820851594408,-25.035483498921682,-14.645943906555438
2BGV,6.463573311785686,19.56689003136394,-20.24755091610862,-6.40497218806893
1QPU,-0.7096804549742415,-3.141533548154994,6.82010841045944,-4.3911006281007685
1MOH,16.42967130798512,2.3501766560739004,-12.885570764320358,1.0541369636101146
1GU2,16.41609022075209,7.722772873843667,-16.78381301764281,-10.743377525090846
1F1C,6.933875726228336,12.490538017418283,-9.957482016791335,-12.254878945170185
2C1D_CSS,8.328910818585326,7.218453268340865,-6.209411019307984,-13.131322008368103
1JP6,0.4239014116686619,-0.14226757583790803,0.10836472364814127,-0.1521805616057851
1YNR,9.70028604453559,12.918905774661178,-12.33435726101265,-14.28561147486716
1CRC,21.945930582709455,6.9114398848970815,-25.098802492368442,-7.038986305720877
