pdb,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,PDB
1A6G,ud,B,50.0,HIS,CO,NHE,1A6G
1A6K,ud,B,,HIS,-,NHE,1A6K
1A6M,ud,B,50.0,HIS,O2,NHE,1A6M
1AW3,du,B,-102.0,HIS,HIS,SHE,1AW3
