pdb,type
1JBQ,Heme B
1YCC,Heme C
1CCE,Heme B
1B5A,Heme B
2OYY,Heme B
3CCX,Heme B
1CRY,Heme C
2V07,Heme C
1CMT,Heme B
1FJ0,Heme C
1DRM,Heme B
1CCK,Heme B
2CE0,Heme C
1FHF,Heme B
1JDL,Heme B
1QPU,Heme B
1A6G,Heme B
1A6K,Heme B
4MU8,Heme C
1VB6,Heme B
1JP6,Heme B
1FLP,Heme B
351C,Heme B
1CXC,Heme C
1CTJ,Heme B
1AW3,Heme B
1C75,Heme C
1DJ1,Heme B
1CCC,Heme B
1CMQ,Heme B
1F1F,Heme C
1A6M,Heme B
451C,Heme B
1CPO,Heme B
1HRC,Heme C
1CCG,Heme B
6U97,Heme B
1JP9,Heme B
1GU2,Heme C
1NSI,Heme B
1ES1,Heme B
2GSM,Heme A
1MOH,Heme B
1EBT,Heme B
1GIW,Heme C
1EUE,Heme B
