PDB,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,ax_qn,ax_ql,ax_qn_r,ax_ql_r,ligup_r,ligdown_r,Kategorie,HM,*_His/His,B_-/His,C_Met/His,Kategorie2,du ,uu ,ud ,dd ,ruffling,saddling,e_1_nbo,edisp_1_nbo,homo_1_nbo,lumo_1_nbo,chem_pot_1_nbo,diff_1_nbo,elekphil_1_nbo,dipole_1_nbo,qpole1_1_nbo,qpole2_1_nbo,qpole3_1_nbo,qpole4_1_nbo,e_2_nbo,edisp_2_nbo,homo_2_nbo,lumo_2_nbo,chem_pot_2_nbo,diff_2_nbo,elekphil_2_nbo,dipole_2_nbo,qpole1_2_nbo,qpole2_2_nbo,qpole3_2_nbo,qpole4_2_nbo,e_5_nbo,edisp_5_nbo,homo_5_nbo,lumo_5_nbo,chem_pot_5_nbo,diff_5_nbo,elekphil_5_nbo,dipole_5_nbo,qpole1_5_nbo,qpole2_5_nbo,qpole3_5_nbo,qpole4_5_nbo,e_6_nbo,edisp_6_nbo,homo_6_nbo,lumo_6_nbo,chem_pot_6_nbo,diff_6_nbo,elekphil_6_nbo,dipole_6_nbo,qpole1_6_nbo,qpole2_6_nbo,qpole3_6_nbo,qpole4_6_nbo,edif-2-1,edif-2-5,edif-6-1,edif-6-5,PDB,Kategorie3
1AW3,du,B,-102.0,His,His,SHE,His/His,His/His,His/His,His/His,His,His,['*_His/His'],False,1,0,0,*_His/His,1,0,0,0,5.321410043761482,3.6002270111600376,-3627.6797476,-89.6149574180127,-0.17357,-0.06967000000000001,-0.12162,0.1039,0.07118,5.0162,46.63685542013644,-14.416439876066024,-32.22041554407041,58.489188720038,-3627.5052531,-89.6149574180127,-0.29308,-0.1792,-0.23614,0.11388,0.24483,8.3241,36.16428198476302,-12.79331314458824,-23.370968840174786,44.91910882038257,-3627.6634705,-89.6149574180127,-0.17755,-0.07264,-0.1251,0.10491,0.07458,4.9315,49.260574490265796,-16.569420616002752,-32.69115387426305,61.39919739126714,-3627.4989357,-89.6149574180127,-0.29336,-0.17995,-0.23666,0.11341,0.24692,8.3028,35.294885987038214,-12.16918766995576,-23.12569831708245,43.916011067005385,0.17449450000003708,0.15821740000001228,0.1808118999997532,0.16453479999972842,1AW3,*_His/His
1F1C,du,C,-260.0,His,His,NHE,His/His,His/His,His/His,His/His,His,His,['*_His/His'],False,1,0,0,*_His/His,1,0,0,0,8.746072709074596,12.490538017418285,-3628.7709565,-90.08765252106888,-0.1265,-0.10105,-0.11378,0.02545,0.25432,7.4081,37.2510533206676,7.242297910809107,-44.49335123147669,58.4786299115812,-3628.6145949,-90.08765252106888,-0.26849,-0.2305,-0.2495,0.03799,0.81927,16.5694,21.51333052714612,2.044093372528181,-23.557423899674298,31.968014152818387,-3628.8151104,-90.08765252106888,-0.16744,-0.0679,-0.11767,0.09954,0.06955,8.3939,34.91750046885141,5.572242620992142,-40.48974308984354,53.75593940381402,-3628.653441800001,-90.08765252106888,-0.27381,-0.17675,-0.22528,0.09706,0.26144,11.5338,26.46027636961467,6.0648141868364505,-32.52509055645112,42.36519458686088,0.15636159999939991,0.20051550000016505,0.11751469999899199,0.16166859999975713,1F1C,*_His/His
1DJ1,uu,B,-172.6,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,16.334332365087608,1.3000421760280814,-3438.6038188,-78.6325274498695,-0.18873,-0.08504,-0.13689,0.10369,0.09035,4.3771,53.38710719211604,-0.12263095948699032,-53.26447623262905,75.4142074216193,-3438.3831737,-78.6325274498695,-0.30489,-0.20507,-0.25498000000000004,0.09982,0.32566,8.711,46.61491395054986,-1.50209487347783,-45.11281907707203,64.88738657402,-3438.6083842,-78.6325274498695,-0.18376,-0.08549,-0.13462000000000002,0.09827,0.09221,4.439,52.9576449068721,0.06731144952274802,-53.02495635639485,74.94106138500555,-3438.4069958000005,-78.6325274498695,-0.30038000000000004,-0.19567,-0.24802,0.10471,0.29375,9.0051,47.237103991844464,-0.9960148379270422,-46.24108915391741,66.11031965763165,0.2206451000006382,0.22521050000023024,0.1968229999997675,0.20138839999935956,1DJ1,B_-/His
1A6G,ud,B,50.0,His,CO,NHE,His/CO,CO/His,andere,andere,His,andere,[],False,0,0,0,andere,0,0,1,0,7.47146839146541,11.105041357202154,-3475.471725900001,-81.29126800533382,-0.16762,-0.09782,-0.13272,0.0698,0.12618,3.8308,28.3143777153185,-9.751172562397123,-18.56320515292137,35.23325042267011,-3475.2857999,-81.29126800533382,-0.29842,-0.24088,-0.26965,0.05754,0.63183,6.0276,51.02028786450299,-17.541541652532903,-33.478746211970076,63.49489665903465,-3475.4502369,-81.29126800533382,-0.15907000000000002,-0.07591,-0.11749,0.08316,0.083,2.4858,29.722477955273103,-7.264996352769227,-22.457481602503872,37.95450365548528,-3475.2390596,-81.29126800533382,-0.27928000000000003,-0.20387,-0.24157,0.07541,0.38694,3.0235,35.28504918708,-13.1949809234425,-22.09006826363749,43.67050877005931,0.18592600000056336,0.16443700000036188,0.2326663000003464,0.2111773000001449,1A6G,andere
4MU8,du,C,269.0,-,His,SHE,-/His,-/His,-/His,-/His,-,His,[],False,0,0,0,andere,1,0,0,0,11.356138379632759,17.59838722848951,-3439.662878900001,-81.38141407053735,-0.13573,-0.11011,-0.12292,0.02562,0.29487,4.9654,34.65273547747128,7.152501041027534,-41.80523651849881,54.76904369788762,-3439.4951710999994,-81.38141407053735,-0.27284,-0.23262,-0.25273,0.04022,0.79404,15.7196,19.611611685499607,11.364183251060787,-30.975794936560398,38.38306717575285,-3439.6839999,-81.38141407053735,-0.15655,-0.08029,-0.11842,0.07626000000000001,0.09194,5.3087,34.7766462375582,6.397362538017646,-41.17400877557584,54.27375397838047,-3439.5094389,-81.38141407053735,-0.27869,-0.22142,-0.25006,0.05727,0.5459,8.8811,32.568814013275954,2.5065903945725267,-35.07540440784848,47.93010156479579,0.16770780000115335,0.18882880000046495,0.15344000000050073,0.17456099999981234,4MU8,andere
1JBQ,dd,B,-291.0,His,Cys,NHE,His/Cys,Cys/His,andere,andere,His,andere,[],False,0,0,0,andere,0,0,0,1,2.61331661459871,1.8010304144361793,-3800.4874641,-86.09542409503317,-0.18091,-0.1027,-0.1418,0.07821,0.12855999999999998,11.8271,35.11113577133645,2.6036321481046016,-37.71476791944104,51.59432598854685,-3800.2766541,-86.09542409503317,-0.27657,-0.21029,-0.24343,0.06627999999999999,0.44703,12.319,27.85429023933333,-0.41375386561738736,-27.44053637371595,39.10263051755995,-3800.5025952,-86.09542409503317,-0.17632,-0.0924,-0.13435999999999998,0.08392000000000001,0.10756,12.0538,31.460958444097844,4.351263660990012,-35.812222105087855,47.86690562145047,-3800.2971452,-86.09542409503317,-0.28816,-0.20881,-0.24849,0.07935,0.38907,12.4362,27.950189195133177,0.8968495625033235,-28.8470387576365,40.176722866183155,0.2108100000000377,0.2259411,0.19031889999996565,0.205449999999928,1JBQ,andere
1CRY,du,C,296.0,Met,His,SHE,Met/His,His/Met,Met/His,His/Met,Met,His,['C_Met/His'],False,0,0,1,C_Met/His,1,0,0,0,23.77711718628061,14.17751253672414,-3880.460234000001,-93.9465890871388,-0.1274,-0.11027,-0.11884000000000003,0.017130000000000003,0.41219,3.4894,31.983696153449607,1.7317641662564185,-33.71546031970602,46.50471042091746,-3880.355376199999,-93.9465890871388,-0.28767,-0.17764000000000002,-0.23266,0.11003,0.24597,6.4414,30.49066485810906,2.9756222714586578,-33.46628712956772,45.370996744953686,-3880.5055687,-93.9465890871388,-0.13296,-0.06586,-0.09941,0.0671,0.07364,3.6476,32.156403746545124,0.7746383566362738,-32.9310421031814,46.03355189962968,-3880.3379827,-93.9465890871388,-0.28708,-0.18459,-0.23584,0.10249,0.27133,6.5074,30.402940120011397,3.2423063644808607,-33.64524648449225,45.46266522658335,0.10485780000135493,0.15019250000068496,0.1222513000006984,0.16758600000002846,1CRY,C_Met/His
1A6M,ud,B,50.0,His,O2,NHE,His/O2,His/O2,andere,andere,His,andere,[],False,0,0,0,andere,0,0,1,0,5.9785554781777845,9.467277425668156,-3512.4498768,-80.4980631542816,-0.16727,-0.11119,-0.13923,0.05608,0.17282999999999998,5.1865,28.486568391356702,-10.96748957952569,-17.519078811831015,35.195007188535875,-3512.2898771,-80.49806321706042,-0.30166,-0.21533,-0.25849,0.08632999999999999,0.387,5.7808,50.95659049686813,-14.715269830062953,-36.24132066680517,64.23820206786047,-3512.4855513,-80.49806321706042,-0.17179,-0.07832,-0.12505,0.09347,0.08366,4.8283,31.51073192043093,-11.630248654530922,-19.880483265900008,39.031045683394936,-3512.2653531,-80.49806321706042,-0.27525,-0.18771,-0.23148,0.08753999999999999,0.30605,3.731,34.59616972898304,-12.411982262090074,-22.18418746689297,42.9312291596373,0.15999969999984387,0.1956742000002123,0.1845237000002271,0.22019820000059556,1A6M,andere
3CCX,uu,B,-181.1,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,17.627942495328067,12.131491602592705,-3362.2323393,-75.52135802465499,-0.18828,-0.08217,-0.13523,0.10611,0.08616,5.1473,25.960560755924874,16.318535767160274,-42.27909652308513,52.22803200537531,-3362.0357324,-75.52135802465499,-0.30197,-0.24322,-0.2726,0.05875,0.63241,9.3908,24.8133371707614,13.420308358392106,-38.233645529153506,47.51439811713055,-3362.2613768,-75.52135802465499,-0.17727,-0.08164,-0.12946,0.09563,0.08762,5.4167,26.440214670529052,16.13392776423046,-42.57414243475951,52.64927524863987,-3362.0184340000005,-75.52135802465499,-0.25487,-0.22443,-0.23965,0.03044,0.94337,11.344,19.070280005638445,16.89395803556276,-35.96423804120121,44.07389040560175,0.19660690000000614,0.22564439999996466,0.21390529999962385,0.24294279999958235,3CCX,B_-/His
1CXC,du,C,355.0,Met,His,NHE,Met/His,His/Met,Met/His,His/Met,Met,His,['C_Met/His'],False,0,0,1,C_Met/His,1,0,0,0,9.746195351443953,8.729117820160633,-3880.5351545,-94.38860945580905,-0.13304000000000002,-0.10781,-0.12043,0.02523,0.2874,3.2818,16.489394008166727,1.2240528388612049,-17.713446847027928,24.23147991903429,-3880.3803931,-94.38860945580905,-0.28263,-0.23579,-0.25921,0.04684,0.71723,11.7413,26.007021633140685,8.437898678074912,-34.444920311215604,43.97744698790618,-3880.5640744,-94.38860945580905,-0.15099,-0.06817000000000001,-0.10958,0.08282,0.07249,4.0132,17.98801340507298,1.3683441453837162,-19.356357550456696,26.45958370009652,-3880.3799072,-94.38860945580905,-0.27754,-0.19258,-0.23506,0.08496000000000001,0.32517,7.2883,23.32312485814488,3.6017277381746133,-26.92485259631949,35.80346747428361,0.15476140000009764,0.18368129999998928,0.15524730000061027,0.1841672000005019,1CXC,C_Met/His
